ts,id.orig_h,id.resp_h,query
1474725609.958464,192.168.1.166,192.168.1.1,babyws.withings.net
1474725763.00814,192.168.1.249,192.168.1.1,www.samsungsmartcam.com
1474725768.014003,192.168.1.249,192.168.1.1,www.samsungsmartcam.com
1474725768.304167,192.168.1.249,192.168.1.1,smtp.gmail.com
1474725768.304032,192.168.1.249,192.168.1.1,smtp.gmail.com
1474725844.031983,192.168.1.240,8.8.8.8,www.example.com
1474725844.03245,192.168.1.240,8.8.8.8,www.example.com
1474725844.218006,192.168.1.240,8.8.8.8,www.example.net
1474725844.218154,192.168.1.240,8.8.8.8,www.example.net
1474725844.381995,192.168.1.240,8.8.8.8,www.example.org
1474725844.382149,192.168.1.240,8.8.8.8,www.example.org
1474725943.70597,192.168.1.249,192.168.1.1,www.samsungsmartcam.com
1474725943.9727,192.168.1.249,192.168.1.1,smtp.gmail.com
1474725943.97283,192.168.1.249,192.168.1.1,smtp.gmail.com
1474725950.699209,192.168.1.240,192.168.1.1,device-metrics-us.amazon.com
1474726144.053863,192.168.1.240,8.8.8.8,www.example.com
1474726144.054038,192.168.1.240,8.8.8.8,www.example.com
1474726144.217177,192.168.1.240,8.8.8.8,www.example.net
1474726144.21733,192.168.1.240,8.8.8.8,www.example.net
1474726144.380642,192.168.1.240,8.8.8.8,www.example.org
1474726144.380797,192.168.1.240,8.8.8.8,www.example.org
1474726211.675968,192.168.1.166,192.168.1.1,babyws.withings.net
1474726215.885297,192.168.1.227,192.168.1.1,devs.tplinkcloud.com
1474726225.896524,192.168.1.227,192.168.1.1,devs.tplinkcloud.com
1474726418.278992,192.168.1.143,192.168.1.1,aps1-relay.tplinkcloud.com
1474726423.195495,192.168.1.249,192.168.1.1,www.samsungsmartcam.com
1474726423.666903,192.168.1.249,192.168.1.1,smtp.gmail.com
1474726423.667027,192.168.1.249,192.168.1.1,smtp.gmail.com
1474726424.848645,192.168.1.240,8.8.8.8,www.example.com
1474726424.8489,192.168.1.240,8.8.8.8,www.example.com
1474726424.784108,192.168.1.240,8.8.8.8,pindorama.amazon.com
1474726425.021831,192.168.1.240,8.8.8.8,www.example.net
1474726425.021961,192.168.1.240,8.8.8.8,www.example.net
1474726425.205188,192.168.1.240,8.8.8.8,www.example.org
1474726425.217384,192.168.1.240,8.8.8.8,www.example.org
1474726608.311637,192.168.1.240,192.168.1.1,www.meethue.com
1474726726.522071,192.168.1.240,8.8.8.8,www.example.com
1474726726.527727,192.168.1.240,8.8.8.8,www.example.com
1474726726.690483,192.168.1.240,8.8.8.8,www.example.net
1474726726.69065,192.168.1.240,8.8.8.8,www.example.net
1474726726.867592,192.168.1.240,8.8.8.8,www.example.org
1474726726.867741,192.168.1.240,8.8.8.8,www.example.org
1474726813.368677,192.168.1.166,192.168.1.1,babyws.withings.net
1474726850.72051,192.168.1.240,192.168.1.1,device-metrics-us.amazon.com
1474727018.54728,192.168.1.143,192.168.1.1,aps1-relay.tplinkcloud.com
1474727025.522529,192.168.1.240,8.8.8.8,www.example.com
1474727025.522689,192.168.1.240,8.8.8.8,www.example.com
1474727025.699241,192.168.1.240,8.8.8.8,www.example.net
1474727025.699392,192.168.1.240,8.8.8.8,www.example.net
1474727025.862723,192.168.1.240,8.8.8.8,www.example.org
1474727025.864024,192.168.1.240,8.8.8.8,www.example.org
1474727083.382102,192.168.1.249,192.168.1.1,www.samsungsmartcam.com
1474727083.837639,192.168.1.249,192.168.1.1,smtp.gmail.com
1474727083.837493,192.168.1.249,192.168.1.1,smtp.gmail.com
1474727203.506432,192.168.1.249,192.168.1.1,www.samsungsmartcam.com
1474727203.754017,192.168.1.249,192.168.1.1,smtp.gmail.com
1474727203.754149,192.168.1.249,192.168.1.1,smtp.gmail.com
1474727325.516866,192.168.1.240,8.8.8.8,www.example.com
1474727325.52052,192.168.1.240,8.8.8.8,www.example.com
1474727325.684604,192.168.1.240,8.8.8.8,www.example.net
1474727325.684454,192.168.1.240,8.8.8.8,www.example.net
1474727325.863936,192.168.1.240,8.8.8.8,www.example.org
1474727325.86407,192.168.1.240,8.8.8.8,www.example.org
1474727415.132863,192.168.1.166,192.168.1.1,babyws.withings.net
1474727625.519422,192.168.1.240,8.8.8.8,www.example.com
1474727625.519583,192.168.1.240,8.8.8.8,www.example.com
1474727625.695873,192.168.1.240,8.8.8.8,www.example.net
1474727625.696019,192.168.1.240,8.8.8.8,www.example.net
1474727625.871999,192.168.1.240,8.8.8.8,www.example.org
1474727625.871848,192.168.1.240,8.8.8.8,www.example.org
1474727712.437392,192.168.1.166,192.168.1.1,babyws.withings.net
1474727737.555195,192.168.1.227,192.168.1.1,uk.pool.ntp.org
1474727750.66779,192.168.1.240,192.168.1.1,device-metrics-us.amazon.com
1474727925.50252,192.168.1.240,8.8.8.8,www.example.com
1474727925.502687,192.168.1.240,8.8.8.8,www.example.com
1474727925.688583,192.168.1.240,8.8.8.8,www.example.net
1474727925.688735,192.168.1.240,8.8.8.8,www.example.net
1474727925.865285,192.168.1.240,8.8.8.8,www.example.org
1474727925.865433,192.168.1.240,8.8.8.8,www.example.org
1474728016.912081,192.168.1.166,192.168.1.1,babyws.withings.net
1474728218.815893,192.168.1.143,192.168.1.1,aps1-relay.tplinkcloud.com
1474728225.514929,192.168.1.240,8.8.8.8,www.example.com
1474728225.515085,192.168.1.240,8.8.8.8,www.example.com
1474728225.689188,192.168.1.240,8.8.8.8,www.example.net
1474728225.689344,192.168.1.240,8.8.8.8,www.example.net
1474728225.880487,192.168.1.240,8.8.8.8,www.example.org
1474728225.880328,192.168.1.240,8.8.8.8,www.example.org
1474728301.398276,192.168.1.241,192.168.1.1,apicom.netatmo.net
1474728328.06884,192.168.1.166,192.168.1.1,babyws.withings.net
1474728328.645528,192.168.1.166,192.168.1.1,babyws.withings.net
1474728389.356397,192.168.1.166,192.168.1.1,babyws.withings.net
1474728525.50599,192.168.1.240,8.8.8.8,www.example.com
1474728525.506172,192.168.1.240,8.8.8.8,www.example.com
1474728525.681644,192.168.1.240,8.8.8.8,www.example.net
1474728525.681473,192.168.1.240,8.8.8.8,www.example.net
1474728525.868833,192.168.1.240,8.8.8.8,www.example.org
1474728525.868684,192.168.1.240,8.8.8.8,www.example.org
1474728618.633689,192.168.1.166,192.168.1.1,babyws.withings.net
1474728650.68103,192.168.1.240,192.168.1.1,device-metrics-us.amazon.com
1474728825.559084,192.168.1.240,8.8.8.8,www.example.com
1474728825.558925,192.168.1.240,8.8.8.8,www.example.com
1474728825.721952,192.168.1.240,8.8.8.8,www.example.net
1474728825.721801,192.168.1.240,8.8.8.8,www.example.net
1474728825.89763,192.168.1.240,8.8.8.8,www.example.org
1474728825.897798,192.168.1.240,8.8.8.8,www.example.org
1474728841.473438,192.168.1.241,192.168.1.1,apicom.netatmo.net
1474728846.479189,192.168.1.241,192.168.1.1,apicom.netatmo.net
1474729125.522411,192.168.1.240,8.8.8.8,www.example.com
1474729125.522582,192.168.1.240,8.8.8.8,www.example.com
1474729125.710645,192.168.1.240,8.8.8.8,www.example.net
1474729125.710799,192.168.1.240,8.8.8.8,www.example.net
1474729125.886043,192.168.1.240,8.8.8.8,www.example.org
1474729125.886195,192.168.1.240,8.8.8.8,www.example.org
1474729220.373694,192.168.1.166,192.168.1.1,babyws.withings.net
1474729419.084208,192.168.1.143,192.168.1.1,aps1-relay.tplinkcloud.com
1474729425.535028,192.168.1.240,8.8.8.8,www.example.com
1474729425.53519,192.168.1.240,8.8.8.8,www.example.com
